""	,	L_5
KERN_ALERT	,	V_12
print_hex_dump	,	F_10
BUG_ON	,	F_5
printk	,	F_2
m_fsname	,	V_6
fmt	,	V_8
__xfs_printk	,	F_1
file	,	V_14
xfs_hex_dump	,	F_9
BUG	,	F_8
xfs_mount	,	V_2
"Transforming an alert into a BUG."	,	L_3
vaf	,	V_5
expr	,	V_13
xfs_panic_mask	,	V_10
va_list	,	T_1
"Assertion failed: %s, file: %s, line: %d"	,	L_4
assfail	,	F_6
mp	,	V_3
level	,	V_1
va_format	,	V_4
length	,	V_16
va	,	V_11
panic_tag	,	V_7
xfs_emerg	,	F_7
p	,	V_15
DUMP_PREFIX_ADDRESS	,	V_17
"%sXFS: %pV\n"	,	L_2
xfs_alert_tag	,	F_3
xfs_alert	,	F_4
do_panic	,	V_9
"%sXFS (%s): %pV\n"	,	L_1
